task,cluster_unit,split_regime,seed,metric,point_estimate,bootstrap_mean,bootstrap_sd,q025,q500,q975,n_records,n_clusters,bootstrap_reps,finite_bootstrap_reps
T3_pn_clf,source_patent_id,scaffold,20260816,pr_auc,0.8827845090516624,0.8817367127658499,0.04789465642930466,0.773977316428871,0.8853892418046947,0.9581606280961208,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260816,balanced_accuracy,0.5192821103164496,0.5182872546231024,0.018635131214602862,0.49309921655283245,0.5181682665605425,0.5607037229896131,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260816,mcc,0.1026064156454698,0.08498058265848403,0.08234672903067469,-0.040732502035430274,0.09925921418041742,0.2273628596442291,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260816,brier,0.13246847832094444,0.13244058597653208,0.03183374229863704,0.07341815208671389,0.13232926070459944,0.19876348723616502,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260816,ece_10bin,0.09610653090072274,0.10395894096543014,0.03174337438656235,0.046558960931555524,0.10232369471011604,0.17001865845096475,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260816,sensitivity,0.9877167630057804,0.9877155317919457,0.005295784362046294,0.9773915863688686,0.9882548762470544,0.996637357652083,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260816,specificity,0.05084745762711865,0.04885897745425883,0.03988762388057218,0.0,0.04790419161676647,0.13709677419354838,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260817,roc_auc,0.5879463082933281,0.5890570488061325,0.0661959571294139,0.45799612927310934,0.5875021648933372,0.7193478542181649,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260817,pr_auc,0.8929072917139803,0.8910173638309116,0.038310573659378115,0.8070954736862527,0.895468171787748,0.9501379281470822,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260817,balanced_accuracy,0.5042954589987264,0.5041993370353332,0.005034753824389344,0.49535763049624465,0.5039775148483143,0.5149635951227317,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260817,mcc,0.028150826731914484,0.027705189878205735,0.03222187688541527,-0.029654437817093295,0.02668077785027351,0.09207042814326417,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260817,brier,0.1358433697013662,0.137345794568853,0.03355775042458329,0.07372658897282945,0.13650193924197696,0.20782792414698073,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260817,ece_10bin,0.10428319468542385,0.11001382912260169,0.03426257871522712,0.05015027798400804,0.10794653743569492,0.18120231699579023,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260817,sensitivity,0.9895231213872833,0.9893299251138794,0.0042904883167488765,0.980188645261269,0.9896639637290465,0.9969929403412254,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260817,specificity,0.019067796610169493,0.019068748956787052,0.010144961179844472,0.0024505331329612136,0.018421052631578946,0.04054054054054054,3240,69,1000,1000
T1_pdc50_reg,source_patent_id,poi,20260815,mae,0.7979182722730549,0.8081970497994136,0.11557503519998481,0.6229067538322478,0.7932595669937608,1.0730873578923303,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,poi,20260815,rmse,1.0947629400906331,1.0938890454234889,0.16199582500383275,0.824204700587357,1.0757671938334519,1.461720135309954,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,poi,20260815,r2,-0.36217008248355964,-0.40890988321169186,0.18661453044373852,-0.8566292180124694,-0.38009791918828617,-0.13726240056391883,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,poi,20260815,spearman,0.10114821302418257,0.10162098438088736,0.07838226578298886,-0.0652442867515747,0.10503921737559295,0.242440861886223,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,poi,20260816,mae,0.8604965884867545,0.869626159482854,0.12576728000706847,0.6717431805994644,0.8573753811367173,1.1812863408563412,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,poi,20260816,rmse,1.1795160150523387,1.1705018983986666,0.19861618896882613,0.8774250060287495,1.1495377181579847,1.6299448356976074,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,poi,20260816,r2,-0.5812438412473044,-0.6272773683187868,0.24889405349076613,-1.2039628754172158,-0.607992575910208,-0.2024820997633649,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,poi,20260816,spearman,0.0034596737846484577,0.004409267520123841,0.11002609322842496,-0.21452878905423284,0.0025774750622383157,0.21301265949747034,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,poi,20260817,mae,0.8253892552726256,0.8352152599859719,0.11986156665911576,0.6358998331478146,0.8242780176703917,1.1135342851222083,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,poi,20260817,rmse,1.1312499924406447,1.1315620254447307,0.18060313879179488,0.8405690793581873,1.1147537102006644,1.5338807217769943,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,poi,20260817,r2,-0.4544819689065924,-0.485101711822227,0.19475439696576624,-0.9086870928712152,-0.47396529876897087,-0.1405106291458638,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,poi,20260817,spearman,0.06470501125163347,0.0739052057313028,0.09728388353588678,-0.1244047308856297,0.07447525022293149,0.2520453778412069,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,pub,20260815,mae,0.85911245625709,0.8738249452604979,0.1320407816046848,0.6611209778483139,0.8624024252768586,1.1854129332787195,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,pub,20260815,rmse,1.1753256086875408,1.1768628951160627,0.19219879766531087,0.8692449576593091,1.1562411650017794,1.6202167026587082,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,pub,20260815,r2,-0.5700285899920225,-0.6218477717068749,0.23718948420535466,-1.1468073846139073,-0.593031277940294,-0.23702625823585205,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,pub,20260815,spearman,-0.0002375124751637751,0.01104883403434765,0.09403380088977734,-0.18121050553712187,0.01394315466016658,0.19887452454829424,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,pub,20260816,mae,0.8198500918867414,0.8317175682195246,0.12327146796131842,0.6388968896474266,0.8199182815578225,1.1004267913246306,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,pub,20260816,rmse,1.1229829848736914,1.1215695455384997,0.17795109817830734,0.834074622589116,1.1092601650061353,1.5158664520809557,2132,46,1000,1000
T1_pdc50_reg,source_patent_id,pub,20260816,r2,-0.4333013670296879,-0.4734942270025849,0.21608299981031245,-0.9299747446395739,-0.4616426786410671,-0.09663137918915518,2132,46,1000,1000
