task,protocol,split_regime,seed,metric,value,n_records,n_structures,conflict_structures_total,dropped_records,majority_ties_dropped
T3_pn_clf,record_level_all,random,20260816,pr_auc,0.8855347472240223,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260816,balanced_accuracy,0.5158837072597238,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260816,mcc,0.059824414816954455,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260816,brier,0.13599678068479634,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260816,ece_10bin,0.10234222050158334,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260816,sensitivity,0.9682080924855492,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260816,specificity,0.0635593220338983,3240,2278,132,0,0
T3_pn_clf,exclude_conflict_structures,random,20260816,roc_auc,0.6158031869538678,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260816,pr_auc,0.9198729161505648,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260816,balanced_accuracy,0.5209516446610566,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260816,mcc,0.07362504840823797,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260816,brier,0.10566213781765182,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260816,ece_10bin,0.0737488066394044,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260816,sensitivity,0.9713511420828495,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260816,specificity,0.0705521472392638,2909,2146,132,331,0
T3_pn_clf,structure_majority_label,random,20260816,roc_auc,0.6068335695166115,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260816,pr_auc,0.9214842237796326,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260816,balanced_accuracy,0.5217966549449781,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260816,mcc,0.0694759843388902,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260816,brier,0.10295910534391259,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260816,ece_10bin,0.0746856123087247,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260816,sensitivity,0.9660071029934043,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260816,specificity,0.07758620689655173,2203,2203,132,0,75
T3_pn_clf,record_level_all,random,20260817,roc_auc,0.5977771841628294,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260817,pr_auc,0.8990671681636406,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260817,balanced_accuracy,0.49412168119917704,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260817,mcc,-0.03076436733448281,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260817,brier,0.13812761787046535,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260817,ece_10bin,0.10927978057276314,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260817,sensitivity,0.9797687861271677,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260817,specificity,0.00847457627118644,3240,2278,132,0,0
T3_pn_clf,exclude_conflict_structures,random,20260817,roc_auc,0.6373361454911657,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260817,pr_auc,0.9323483472872788,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260817,balanced_accuracy,0.4952948609240694,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260817,mcc,-0.020885823997593058,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260817,brier,0.1079373780592277,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260817,ece_10bin,0.07813625811157712,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260817,sensitivity,0.978319783197832,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260817,specificity,0.012269938650306749,2909,2146,132,331,0
T3_pn_clf,structure_majority_label,random,20260817,roc_auc,0.6338634335800136,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260817,pr_auc,0.9341496214579144,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260817,balanced_accuracy,0.4945426354554838,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260817,mcc,-0.022495375565097248,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260817,brier,0.10314965796226884,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260817,ece_10bin,0.0734022295223384,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260817,sensitivity,0.976154236428209,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260817,specificity,0.01293103448275862,2203,2203,132,0,75
T3_pn_clf,record_level_all,scaffold,20260815,roc_auc,0.5845509668609777,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260815,pr_auc,0.8876459145544473,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260815,balanced_accuracy,0.546735696090918,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260815,mcc,0.1521939552902108,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260815,brier,0.13600946995694072,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260815,ece_10bin,0.10672960934677615,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260815,sensitivity,0.9642341040462428,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260815,specificity,0.1292372881355932,3240,2278,132,0,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260815,roc_auc,0.6185179643207476,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260815,pr_auc,0.9203210592454789,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260815,balanced_accuracy,0.5631072918967577,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260815,mcc,0.18729351338223243,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260815,brier,0.10590916490978043,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260815,ece_10bin,0.081986304719594,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260815,sensitivity,0.9667053813395277,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260815,specificity,0.15950920245398773,2909,2146,132,331,0
T3_pn_clf,structure_majority_label,scaffold,20260815,roc_auc,0.601711891390682,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260815,pr_auc,0.9230426735989038,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260815,balanced_accuracy,0.560461825784216,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260815,mcc,0.16826205667538277,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260815,brier,0.10399982075232235,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260815,ece_10bin,0.08698871581258419,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260815,sensitivity,0.9614408929477423,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260815,specificity,0.15948275862068967,2203,2203,132,0,75
T3_pn_clf,record_level_all,scaffold,20260816,roc_auc,0.5862895868031743,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260816,pr_auc,0.8827845090516624,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260816,balanced_accuracy,0.5192821103164496,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260816,mcc,0.1026064156454698,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260816,brier,0.13246847832094444,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260816,ece_10bin,0.09610653090072274,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260816,sensitivity,0.9877167630057804,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260816,specificity,0.05084745762711865,3240,2278,132,0,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260816,roc_auc,0.612282645613485,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260816,pr_auc,0.9133965480786812,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260816,balanced_accuracy,0.5288881525975645,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260816,mcc,0.1326404140731526,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260816,brier,0.10222847373367988,2909,2146,132,331,0
